Student_ID,Enrolled_Courses
Student_0001,"리액트, 자바스크립트"
Student_0002,"HTML/CSS, 리액트, 웹 디자인 기초, 자바스크립트, 파이썬 기초"
Student_0003,"SQL, 머신러닝, 태블로 시각화, 파이썬 기초"
Student_0004,"리액트, 뷰(Vue), 자바스크립트"
Student_0005,"리액트, 뷰(Vue)"
Student_0006,"데이터 분석, 리액트, 태블로 시각화, 파이썬 기초"
Student_0007,"HTML/CSS, 뷰(Vue)"
Student_0008,"SQL, 머신러닝, 태블로 시각화, 파이썬 기초"
Student_0009,"SQL, 파이썬 기초"
Student_0010,"리액트, 뷰(Vue), 웹 디자인 기초"
Student_0011,"SQL, 데이터 분석, 머신러닝"
Student_0012,"HTML/CSS, 뷰(Vue), 웹 디자인 기초, 자바스크립트"
Student_0013,"HTML/CSS, 머신러닝, 뷰(Vue), 자바스크립트"
Student_0014,"HTML/CSS, 자바스크립트"
Student_0015,"SQL, 데이터 분석"
Student_0016,"HTML/CSS, 뷰(Vue), 웹 디자인 기초, 자바스크립트"
Student_0017,"리액트, 뷰(Vue), 웹 디자인 기초"
Student_0018,"HTML/CSS, 머신러닝, 태블로 시각화"
Student_0019,"뷰(Vue), 자바스크립트"
Student_0020,"SQL, 머신러닝, 태블로 시각화, 파이썬 기초"
Student_0021,"SQL, 데이터 분석, 태블로 시각화, 파이썬 기초"
Student_0022,"HTML/CSS, 리액트, 웹 디자인 기초, 자바스크립트"
Student_0023,"데이터 분석, 머신러닝, 태블로 시각화, 파이썬 기초"
Student_0024,"HTML/CSS, SQL, 리액트, 웹 디자인 기초, 자바스크립트"
Student_0025,"HTML/CSS, 뷰(Vue), 자바스크립트"
Student_0026,"데이터 분석, 리액트"
Student_0027,"SQL, 리액트, 웹 디자인 기초, 태블로 시각화"
Student_0028,"SQL, 머신러닝, 태블로 시각화, 파이썬 기초"
Student_0029,"SQL, 데이터 분석, 머신러닝, 자바스크립트, 태블로 시각화"
Student_0030,"데이터 분석, 태블로 시각화"
Student_0031,"SQL, 데이터 분석, 태블로 시각화, 파이썬 기초"
Student_0032,"SQL, 머신러닝"
Student_0033,"데이터 분석, 머신러닝, 태블로 시각화, 파이썬 기초"
Student_0034,"SQL, 머신러닝"
Student_0035,"HTML/CSS, 뷰(Vue), 웹 디자인 기초, 자바스크립트"
Student_0036,"웹 디자인 기초, 자바스크립트"
Student_0037,"SQL, 데이터 분석, 태블로 시각화"
Student_0038,"데이터 분석, 뷰(Vue), 파이썬 기초"
Student_0039,"HTML/CSS, 리액트, 뷰(Vue), 웹 디자인 기초"
Student_0040,"HTML/CSS, 머신러닝, 뷰(Vue), 자바스크립트"
Student_0041,"SQL, 머신러닝, 태블로 시각화"
Student_0042,"SQL, 리액트, 머신러닝, 뷰(Vue)"
Student_0043,"태블로 시각화, 파이썬 기초"
Student_0044,"SQL, 데이터 분석, 머신러닝, 파이썬 기초"
Student_0045,"데이터 분석, 머신러닝, 웹 디자인 기초"
Student_0046,"SQL, 데이터 분석, 태블로 시각화, 파이썬 기초"
Student_0047,"SQL, 데이터 분석, 리액트, 머신러닝, 태블로 시각화"
Student_0048,"HTML/CSS, 뷰(Vue)"
Student_0049,"HTML/CSS, 자바스크립트"
Student_0050,"데이터 분석, 머신러닝, 파이썬 기초"
Student_0051,"SQL, 데이터 분석, 태블로 시각화, 파이썬 기초"
Student_0052,"SQL, 파이썬 기초"
Student_0053,"리액트, 웹 디자인 기초"
Student_0054,"리액트, 뷰(Vue)"
Student_0055,"데이터 분석, 자바스크립트"
Student_0056,"HTML/CSS, 리액트"
Student_0057,"리액트, 뷰(Vue), 자바스크립트"
Student_0058,"HTML/CSS, 자바스크립트"
Student_0059,"HTML/CSS, SQL, 뷰(Vue), 웹 디자인 기초, 자바스크립트"
Student_0060,"리액트, 자바스크립트"
Student_0061,"리액트, 뷰(Vue), 웹 디자인 기초"
Student_0062,"SQL, 웹 디자인 기초"
Student_0063,"리액트, 자바스크립트"
Student_0064,"SQL, 데이터 분석, 머신러닝, 파이썬 기초"
Student_0065,"데이터 분석, 머신러닝, 태블로 시각화"
Student_0066,"HTML/CSS, 자바스크립트"
Student_0067,"SQL, 데이터 분석, 파이썬 기초"
Student_0068,"SQL, 데이터 분석, 머신러닝, 파이썬 기초"
Student_0069,"데이터 분석, 자바스크립트, 파이썬 기초"
Student_0070,"데이터 분석, 머신러닝, 파이썬 기초"
Student_0071,"머신러닝, 파이썬 기초"
Student_0072,"HTML/CSS, 리액트, 웹 디자인 기초, 자바스크립트"
Student_0073,"HTML/CSS, 데이터 분석, 리액트, 태블로 시각화"
Student_0074,"SQL, 머신러닝, 태블로 시각화"
Student_0075,"SQL, 데이터 분석, 머신러닝"
Student_0076,"SQL, 태블로 시각화"
Student_0077,"리액트, 뷰(Vue), 웹 디자인 기초, 자바스크립트"
Student_0078,"HTML/CSS, 데이터 분석, 리액트, 웹 디자인 기초, 자바스크립트"
Student_0079,"데이터 분석, 웹 디자인 기초, 자바스크립트"
Student_0080,"HTML/CSS, 데이터 분석, 리액트, 자바스크립트"
Student_0081,"HTML/CSS, 뷰(Vue), 웹 디자인 기초, 자바스크립트, 파이썬 기초"
Student_0082,"뷰(Vue), 자바스크립트"
Student_0083,"리액트, 머신러닝, 자바스크립트, 파이썬 기초"
Student_0084,"SQL, 머신러닝"
Student_0085,"리액트, 뷰(Vue), 웹 디자인 기초, 자바스크립트"
Student_0086,"HTML/CSS, 리액트, 뷰(Vue)"
Student_0087,"SQL, 데이터 분석, 리액트, 머신러닝, 태블로 시각화"
Student_0088,"SQL, 머신러닝, 파이썬 기초"
Student_0089,"데이터 분석, 파이썬 기초"
Student_0090,"머신러닝, 태블로 시각화, 파이썬 기초"
Student_0091,"데이터 분석, 머신러닝, 태블로 시각화, 파이썬 기초"
Student_0092,"데이터 분석, 머신러닝, 태블로 시각화"
Student_0093,"SQL, 머신러닝"
Student_0094,"HTML/CSS, 리액트, 뷰(Vue), 자바스크립트"
Student_0095,"HTML/CSS, 리액트, 머신러닝, 웹 디자인 기초, 자바스크립트"
Student_0096,"SQL, 머신러닝, 파이썬 기초"
Student_0097,"SQL, 데이터 분석, 머신러닝"
Student_0098,"HTML/CSS, 뷰(Vue), 웹 디자인 기초, 자바스크립트"
Student_0099,"HTML/CSS, 리액트, 뷰(Vue), 웹 디자인 기초"
Student_0100,"뷰(Vue), 자바스크립트"
Student_0101,"리액트, 뷰(Vue)"
Student_0102,"데이터 분석, 머신러닝, 태블로 시각화, 파이썬 기초"
Student_0103,"머신러닝, 웹 디자인 기초, 자바스크립트, 파이썬 기초"
Student_0104,"HTML/CSS, 리액트, 웹 디자인 기초, 자바스크립트"
Student_0105,"HTML/CSS, 웹 디자인 기초"
Student_0106,"SQL, 태블로 시각화, 파이썬 기초"
Student_0107,"리액트, 뷰(Vue)"
Student_0108,"HTML/CSS, 뷰(Vue), 웹 디자인 기초, 자바스크립트"
Student_0109,"리액트, 자바스크립트, 태블로 시각화"
Student_0110,"SQL, 파이썬 기초"
Student_0111,"데이터 분석, 리액트, 머신러닝, 태블로 시각화"
Student_0112,"SQL, 태블로 시각화"
Student_0113,"HTML/CSS, 리액트, 머신러닝, 뷰(Vue), 웹 디자인 기초"
Student_0114,"뷰(Vue), 웹 디자인 기초"
Student_0115,"SQL, 데이터 분석, 머신러닝"
Student_0116,"리액트, 뷰(Vue), 자바스크립트"
